id,create_time,round_income,living_costs,paid_debt,mortgage_payment,profit_sold_house,spent_savings_for_buying_house,cost_taxes,cost_house_measures_bought,cost_personal_measures_bought,cost_fluvial_damage,cost_pluvial_damage,spendable_income,satisfaction_move_penalty,satisfaction_house_rating_delta,satisfaction_house_measures,satisfaction_personal_measures,satisfaction_fluvial_penalty,satisfaction_pluvial_penalty,satisfaction_debt_penalty,satisfaction_total,preferred_house_rating,maximum_mortgage,mortgage_house_start,mortgage_left_start,house_price_sold,house_price_bought,mortgage_house_end,mortgage_left_end,movingreason_id,moving_reason_other,pluvial_base_protection,fluvial_base_protection,pluvial_community_delta,fluvial_community_delta,pluvial_house_delta,fluvial_house_delta,player_state,player_id,groupround_id,start_housegroup_id,final_housegroup_id,active_transaction_id
1036,2025-09-23T10:45:04,75000,40000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,5,4,110000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,634,269,,,
1054,2025-09-23T10:45:04,75000,40000,0,11000,0,15000,20000,0,0,0,0,-6000,0,0,0,0,0,0,0,5,4,110000,0,0,0,125000,110000,99000,,,6,6,0,0,0,0,VIEW_SUMMARY,634,271,,1307,
1092,2025-09-23T10:45:04,75000,40000,6000,11000,0,0,20000,0,0,0,0,-2000,0,0,0,0,0,0,1,4,4,110000,110000,99000,0,0,110000,88000,,,6,6,0,0,0,0,VIEW_SUMMARY,634,276,1307,1307,
1105,2025-09-23T10:45:04,75000,40000,2000,11000,0,0,20000,0,0,12000,0,-10000,0,0,0,0,4,0,1,-1,4,110000,110000,88000,0,0,110000,77000,,,6,6,-1,-2,0,0,VIEW_SUMMARY,634,278,1307,1307,
1131,2025-09-23T10:45:04,75000,40000,10000,11000,0,0,20000,0,0,12000,0,-18000,0,0,0,0,4,0,1,-6,4,110000,110000,77000,0,0,110000,66000,,,6,6,-2,-1,0,0,VIEW_SUMMARY,634,282,1307,1307,
1030,2025-09-23T10:28:36,110000,60000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,5,6,170000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,635,269,,,
1049,2025-09-23T10:28:36,110000,60000,0,17000,0,30000,15000,8000,0,0,0,10000,0,0,1,0,0,0,0,6,6,170000,0,0,0,200000,170000,153000,,,6,9,0,0,1,1,VIEW_SUMMARY,635,271,,1296,
1090,2025-09-23T10:28:36,110000,60000,0,17000,0,0,15000,0,9000,0,0,19000,0,0,0,1,0,0,0,7,6,170000,170000,153000,0,0,170000,136000,,,6,9,0,0,0,0,VIEW_SUMMARY,635,276,1296,1296,
1102,2025-09-23T10:28:36,110000,60000,0,17000,0,0,15000,6000,15500,0,0,15500,0,0,1,3,0,0,0,11,6,170000,170000,136000,0,0,170000,119000,,,6,9,-1,-2,1,0,VIEW_SUMMARY,635,278,1296,1296,
1127,2025-09-23T10:28:36,110000,60000,0,17000,0,0,30000,1000,0,0,0,17500,0,0,0,0,0,0,0,11,6,170000,170000,119000,0,0,170000,102000,,,6,9,-2,-1,0,1,VIEW_SUMMARY,635,282,1296,1296,
1025,2025-09-23T10:26:01,60000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,80000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,636,269,,,
1050,2025-09-23T10:26:01,60000,30000,0,7000,0,0,20000,0,1750,0,0,1250,0,-1,0,1,0,0,0,5,3,80000,0,0,0,70000,70000,63000,,,6,6,0,0,0,0,VIEW_SUMMARY,636,271,,1308,
1091,2025-09-23T10:26:01,60000,30000,0,7000,0,0,20000,1000,1400,0,0,1850,0,0,0,0,0,0,0,5,3,80000,70000,63000,0,0,70000,56000,,,6,6,0,0,0,1,VIEW_SUMMARY,636,276,1308,1308,
1111,2025-09-23T10:26:01,60000,30000,0,7000,0,0,20000,0,0,12000,0,-7150,0,0,0,0,4,0,0,1,3,80000,70000,56000,0,0,70000,49000,,,6,6,-1,-2,0,0,VIEW_SUMMARY,636,278,1308,1308,
1128,2025-09-23T10:26:01,60000,30000,7150,7000,0,0,20000,0,0,12000,0,-16150,0,0,0,0,4,0,1,-4,3,80000,70000,49000,0,0,70000,42000,,,6,6,-2,-1,0,0,VIEW_SUMMARY,636,282,1308,1308,
1034,2025-09-23T10:33:43,90000,50000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,5,5,130000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,637,269,,,
1052,2025-09-23T10:33:43,90000,50000,0,10000,0,0,15000,6000,5000,0,0,19000,0,-2,1,2,0,0,0,6,5,130000,0,0,0,100000,100000,90000,,,6,9,0,0,1,0,VIEW_SUMMARY,637,271,,1298,
1094,2025-09-23T10:33:43,90000,50000,0,10000,0,0,15000,10000,2500,0,0,21500,0,0,0,1,0,0,0,7,5,130000,100000,90000,0,0,100000,80000,,,6,9,0,0,1,1,VIEW_SUMMARY,637,276,1298,1298,
1108,2025-09-23T10:33:43,90000,50000,0,10000,0,0,15000,8000,0,0,0,28500,0,0,1,0,0,0,0,8,5,130000,100000,80000,0,0,100000,70000,,,6,9,-1,-2,1,0,VIEW_SUMMARY,637,278,1298,1298,
1133,2025-09-23T10:33:43,90000,50000,0,10000,0,0,30000,9000,0,0,0,19500,0,0,1,0,0,0,0,9,5,130000,100000,70000,0,0,100000,60000,,,6,9,-2,-1,1,2,ANSWER_SURVEY,637,282,1298,1298,
1033,2025-09-23T10:33:32,130000,75000,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,5,7,200000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,638,269,,,
1051,2025-09-23T10:33:32,130000,75000,0,20000,0,100000,20000,0,0,0,4000,-39000,0,1,0,0,0,1,0,5,7,200000,0,0,0,300000,200000,180000,,,4,9,0,0,0,0,VIEW_SUMMARY,638,271,,1299,
1093,2025-09-23T10:33:32,130000,75000,39000,20000,0,0,20000,0,0,0,0,-24000,0,0,0,0,0,0,1,4,7,200000,200000,180000,0,0,200000,160000,,,4,9,0,0,0,0,VIEW_SUMMARY,638,276,1299,1299,
1107,2025-09-23T10:33:32,130000,75000,24000,20000,0,0,20000,0,0,0,0,-9000,0,0,0,0,0,0,1,3,7,200000,200000,160000,0,0,200000,140000,,,4,9,-1,-2,0,0,VIEW_SUMMARY,638,278,1299,1299,
1129,2025-09-23T10:33:32,130000,75000,9000,20000,0,0,20000,6000,0,0,0,0,0,0,1,0,0,0,1,3,7,200000,200000,140000,0,0,200000,120000,,,4,9,-2,-1,1,0,VIEW_SUMMARY,638,282,1299,1299,
1043,2025-09-23T10:45:35,190000,115000,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,5,8,300000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,639,269,,,
1053,2025-09-23T10:45:35,190000,115000,0,0,0,0,20000,8000,21000,0,0,106000,0,0,1,2,0,0,0,8,8,300000,0,0,0,0,0,0,,,4,9,0,0,1,1,VIEW_SUMMARY,639,271,,1300,
1095,2025-09-23T10:45:35,190000,115000,0,0,0,0,20000,16000,0,0,0,145000,0,0,1,0,0,0,0,9,8,300000,0,0,0,0,0,0,,,4,9,0,0,2,1,VIEW_SUMMARY,639,276,1300,1300,
1114,2025-09-23T10:45:35,190000,115000,0,0,0,0,20000,8000,17000,0,0,175000,0,0,1,2,0,0,0,12,8,300000,0,0,0,0,0,0,,,4,9,-1,-2,1,0,VIEW_SUMMARY,639,278,1300,1300,
1132,2025-09-23T10:45:35,190000,115000,0,30000,300000,125000,30000,14000,0,0,0,351000,1,1,2,0,0,0,0,14,8,300000,0,0,300000,425000,300000,270000,34,Other,6,9,-2,-1,4,2,VIEW_SUMMARY,639,282,1300,1357,
1032,2025-09-23T10:33:18,110000,60000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,5,6,170000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,640,269,,,
1061,2025-09-23T10:33:18,110000,60000,0,17000,0,75000,15000,0,0,0,0,-27000,0,0,0,0,0,0,0,5,6,170000,0,0,0,245000,170000,153000,,,6,9,0,0,0,0,VIEW_SUMMARY,640,271,,1297,
1089,2025-09-23T10:33:18,110000,60000,27000,17000,0,0,15000,0,0,0,0,-9000,0,0,0,0,0,0,1,4,6,170000,170000,153000,0,0,170000,136000,,,6,9,0,0,0,0,VIEW_SUMMARY,640,276,1297,1297,
1112,2025-09-23T10:33:18,110000,60000,9000,17000,0,0,15000,7000,0,0,0,2000,0,0,1,0,0,0,1,4,6,170000,170000,136000,0,0,170000,119000,,,6,9,-1,-2,1,1,VIEW_SUMMARY,640,278,1297,1297,
1130,2025-09-23T10:33:18,110000,60000,0,17000,0,0,30000,0,0,0,0,5000,0,0,0,0,0,0,0,4,6,170000,170000,119000,0,0,170000,102000,,,6,9,-2,-1,0,0,VIEW_SUMMARY,640,282,1297,1297,
1026,2025-09-23T10:26:33,60000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,80000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,642,267,,,
1038,2025-09-23T10:26:33,60000,30000,0,8000,0,20000,15000,0,0,0,0,-13000,0,0,0,0,0,0,0,5,3,80000,0,0,0,100000,80000,72000,,,6,9,0,0,0,0,VIEW_SUMMARY,642,270,,1283,
1078,2025-09-23T10:26:33,60000,30000,13000,8000,0,0,15000,0,0,0,4000,-10000,0,0,0,0,0,1,1,3,3,80000,80000,72000,0,0,80000,64000,,,6,9,0,0,0,0,VIEW_SUMMARY,642,274,1283,1283,
1096,2025-09-23T10:26:33,60000,30000,10000,8000,0,0,15000,0,0,16000,0,-19000,0,0,0,0,5,0,1,-3,3,80000,80000,64000,0,0,80000,56000,,,6,9,-1,-2,0,0,VIEW_SUMMARY,642,277,1283,1283,
1123,2025-09-23T10:26:33,60000,30000,19000,8000,0,0,20000,0,0,0,4000,-21000,0,0,0,0,0,1,1,-5,3,80000,80000,56000,0,0,80000,48000,,,6,9,-2,-1,0,0,VIEW_SUMMARY,642,281,1283,1283,
1027,2025-09-23T10:26:41,110000,60000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,5,6,170000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,643,267,,,
1039,2025-09-23T10:26:41,110000,60000,0,17000,0,30000,15000,0,15000,0,0,3000,0,0,0,3,0,0,0,8,6,170000,0,0,0,200000,170000,153000,,,6,9,0,0,0,0,VIEW_SUMMARY,643,270,,1281,
1077,2025-09-23T10:26:41,110000,60000,0,17000,0,0,15000,8000,0,0,4000,9000,0,0,1,0,0,1,0,8,6,170000,170000,153000,0,0,170000,136000,,,6,9,0,0,1,1,VIEW_SUMMARY,643,274,1281,1281,
1097,2025-09-23T10:26:41,110000,60000,0,17000,0,0,15000,0,0,16000,0,11000,0,0,0,0,5,0,0,3,6,170000,170000,136000,0,0,170000,119000,,,6,9,-1,-2,0,0,VIEW_SUMMARY,643,277,1281,1281,
1125,2025-09-23T10:26:41,110000,60000,0,17000,101000,130000,15000,0,0,0,4000,-4000,3,2,0,0,0,1,0,1,6,170000,170000,119000,220000,300000,170000,153000,33,,4,9,-2,-1,0,0,VIEW_SUMMARY,643,281,1281,1349,
1028,2025-09-23T10:27:01,60000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,80000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,644,267,,,
1042,2025-09-23T10:27:01,60000,30000,0,8000,0,0,15000,0,3600,0,0,3400,0,-1,0,1,0,0,0,5,3,80000,0,0,0,80000,80000,72000,,,4,9,0,0,0,0,VIEW_SUMMARY,644,270,,1288,
1079,2025-09-23T10:27:01,60000,30000,0,8000,0,0,15000,8000,0,0,4000,-1600,0,0,1,0,0,1,0,5,3,80000,80000,72000,0,0,80000,64000,,,4,9,0,0,1,1,VIEW_SUMMARY,644,274,1288,1288,
1099,2025-09-23T10:27:01,60000,30000,1600,8000,0,0,15000,0,0,16000,4000,-14600,0,0,0,0,5,1,1,-2,3,80000,80000,64000,0,0,80000,56000,,,4,9,-1,-2,0,0,VIEW_SUMMARY,644,277,1288,1288,
1122,2025-09-23T10:27:01,60000,30000,14600,8000,0,0,15000,0,0,0,4000,-11600,0,0,0,0,0,1,1,-4,3,80000,80000,56000,0,0,80000,48000,,,4,9,-2,-1,0,0,VIEW_SUMMARY,644,281,1288,1288,
1029,2025-09-23T10:27:08,90000,50000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,5,5,130000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,645,267,,,
1045,2025-09-23T10:27:08,90000,50000,0,13000,0,30000,15000,0,0,0,0,-3000,0,0,0,0,0,0,0,5,5,130000,0,0,0,160000,130000,117000,,,4,9,0,0,0,0,VIEW_SUMMARY,645,270,,1286,
1081,2025-09-23T10:27:08,90000,50000,3000,13000,0,0,15000,6000,0,0,4000,-1000,0,0,1,0,0,1,1,4,5,130000,130000,117000,0,0,130000,104000,,,4,9,0,0,1,0,VIEW_SUMMARY,645,274,1286,1286,
1098,2025-09-23T10:27:08,90000,50000,1000,13000,0,0,15000,8000,0,16000,0,-13000,0,0,1,0,5,0,1,-1,5,130000,130000,104000,0,0,130000,91000,,,4,9,-1,-2,1,0,VIEW_SUMMARY,645,277,1286,1286,
1126,2025-09-23T10:27:08,90000,50000,13000,13000,0,0,15000,0,0,0,4000,-5000,0,0,0,0,0,1,1,-3,5,130000,130000,91000,0,0,130000,78000,,,4,9,-2,-1,0,0,VIEW_SUMMARY,645,281,1286,1286,
1037,2025-09-23T10:45:04,130000,75000,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,5,7,200000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,646,267,,,
1046,2025-09-23T10:45:04,130000,75000,0,20000,0,0,15000,33000,25500,0,0,11500,0,-1,3,4,0,0,0,11,7,200000,0,0,0,200000,200000,180000,,,6,9,0,0,4,3,VIEW_SUMMARY,646,270,,1282,
1080,2025-09-23T10:45:04,130000,75000,0,20000,0,0,15000,0,0,0,4000,27500,0,0,0,0,0,1,0,10,7,200000,200000,180000,0,0,200000,160000,,,6,9,0,0,0,0,VIEW_SUMMARY,646,274,1282,1282,
1101,2025-09-23T10:45:04,130000,75000,0,20000,0,0,15000,0,0,16000,0,31500,0,0,0,0,5,0,0,5,7,200000,200000,160000,0,0,200000,140000,,,6,9,-1,-2,0,0,VIEW_SUMMARY,646,277,1282,1282,
1121,2025-09-23T10:45:04,130000,75000,0,20000,0,0,20000,0,0,0,4000,42500,0,0,0,0,0,1,0,4,7,200000,200000,140000,0,0,200000,120000,,,6,9,-2,-1,0,0,VIEW_SUMMARY,646,281,1282,1282,
1031,2025-09-23T10:30:14,190000,115000,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,0,0,5,8,300000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,647,267,,,
1047,2025-09-23T10:30:14,190000,115000,0,30000,0,0,15000,14000,21000,0,0,75000,0,0,2,2,0,0,0,9,8,300000,0,0,0,300000,300000,270000,,,4,9,0,0,2,0,VIEW_SUMMARY,647,270,,1284,
1082,2025-09-23T10:30:14,190000,115000,0,30000,0,0,15000,19000,17000,0,4000,65000,0,0,1,2,0,1,0,11,8,300000,300000,270000,0,0,300000,240000,,,4,9,0,0,2,3,VIEW_SUMMARY,647,274,1284,1284,
1100,2025-09-23T10:30:14,190000,115000,0,30000,0,0,15000,0,0,16000,4000,75000,0,0,0,0,5,1,0,5,8,300000,300000,240000,0,0,300000,210000,,,4,9,-1,-2,0,0,VIEW_SUMMARY,647,277,1284,1284,
1124,2025-09-23T10:30:14,190000,115000,0,30000,190000,125000,20000,15000,0,0,0,150000,1,1,2,0,0,0,0,7,8,300000,300000,210000,400000,425000,300000,270000,35,,6,9,-2,-1,4,3,VIEW_SUMMARY,647,281,1284,1347,
1055,2025-09-23T10:46:58,75000,40000,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,5,4,110000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,650,268,,,
1064,2025-09-23T10:46:58,75000,40000,0,7000,0,0,20000,1000,3150,0,4000,4850,0,-2,0,1,1,1,0,2,4,110000,0,0,0,70000,70000,63000,,,6,6,0,0,0,1,VIEW_SUMMARY,650,272,,1324,
1087,2025-09-23T10:46:58,75000,40000,0,7000,0,0,20000,0,3500,0,4000,5350,0,0,0,2,0,1,0,3,4,110000,70000,63000,0,0,70000,56000,,,6,6,0,0,0,0,VIEW_SUMMARY,650,275,1324,1324,
1113,2025-09-23T10:46:58,75000,40000,0,7000,0,0,20000,8000,0,24000,0,-18650,0,0,1,0,7,0,0,-3,4,110000,70000,56000,0,0,70000,49000,,,6,6,-1,-2,1,1,VIEW_SUMMARY,650,279,1324,1324,
1137,2025-09-23T10:46:58,75000,40000,18650,7000,0,0,20000,0,0,16000,0,-26650,0,0,0,0,5,0,1,-9,4,110000,70000,49000,0,0,70000,42000,,,6,6,-2,-1,0,0,VIEW_SUMMARY,650,283,1324,1324,
1048,2025-09-23T10:46:41,110000,60000,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,5,6,170000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,651,268,,,
1066,2025-09-23T10:46:41,110000,60000,0,17000,0,30000,20000,9000,4000,0,4000,-4000,0,0,1,0,0,1,0,5,6,170000,0,0,0,200000,170000,153000,,,6,9,0,0,1,2,VIEW_SUMMARY,651,272,,1311,
1088,2025-09-23T10:46:41,110000,60000,4000,17000,0,0,20000,0,0,0,4000,5000,0,0,0,0,0,1,1,3,6,170000,170000,153000,0,0,170000,136000,,,6,9,0,0,0,0,VIEW_SUMMARY,651,275,1311,1311,
1104,2025-09-23T10:46:41,110000,60000,0,17000,0,0,20000,6000,0,16000,0,-4000,0,0,1,0,5,0,0,-1,6,170000,170000,136000,0,0,170000,119000,,,6,9,-1,-2,1,0,VIEW_SUMMARY,651,279,1311,1311,
1138,2025-09-23T10:46:41,110000,60000,4000,17000,0,0,30000,0,0,4000,0,-5000,0,0,0,0,2,0,1,-4,6,170000,170000,119000,0,0,170000,102000,,,6,9,-2,-1,0,0,VIEW_SUMMARY,651,283,1311,1311,
1041,2025-09-23T10:45:24,60000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,80000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,652,268,,,
1065,2025-09-23T10:45:24,60000,30000,0,8000,0,20000,20000,0,0,0,4000,-22000,0,0,0,0,0,1,0,4,3,80000,0,0,0,100000,80000,72000,,,6,9,0,0,0,0,VIEW_SUMMARY,652,272,,1313,
1083,2025-09-23T10:45:24,60000,30000,22000,8000,0,0,20000,0,0,0,4000,-24000,0,0,0,0,0,1,1,2,3,80000,80000,72000,0,0,80000,64000,,,6,9,0,0,0,0,VIEW_SUMMARY,652,275,1313,1313,
1109,2025-09-23T10:45:24,60000,30000,24000,8000,0,0,20000,0,0,16000,0,-38000,0,0,0,0,5,0,1,-4,3,80000,80000,64000,0,0,80000,56000,,,6,9,-1,-2,0,0,VIEW_SUMMARY,652,279,1313,1313,
1135,2025-09-23T10:45:24,60000,30000,30000,8000,0,0,30000,0,0,4000,0,-50000,0,0,0,0,2,0,1,-7,3,80000,80000,56000,0,0,80000,48000,,,6,9,-2,-1,0,0,VIEW_SUMMARY,652,283,1313,1313,
1044,2025-09-23T10:45:41,90000,50000,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,5,5,130000,0,0,0,0,0,0,,,0,0,0,0,0,0,LOGIN,653,268,,,
